"ANO";"Regiao";"SIGLA";"UF";"Dependencia_Administrativa";"Localizacao";"Situacao_Funcionamento";"Fundamental_Nº_Matriculas";"Fundamental_Nº_Turmas";"Fundamental_Nº_Docentes";"Fundamental_Nº_Aprovados";"Fundamental_Nº_Reprovados";"Fundamental_Nº_Abandonos";"Medio_Nº_Matriculas";"Medio_Nº_Turmas";"Medio_Nº_Docentes";"Medio_Nº_Aprovados";"Medio_Nº_Reprovados";"Medio_Nº_Abandonos";"Nº_Escolas"
1996;"Nordeste";"CE";"Ceará";"Estadual";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;3
1996;"Nordeste";"CE";"Ceará";"Federal";"Rural";"Em Atividade";0;0;1260;0;0;0;726;27;156;568;43;54;2
1996;"Nordeste";"CE";"Ceará";"Federal";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"CE";"Ceará";"Federal";"Urbana";"Em Atividade";0;0;1260;0;0;0;0;0;156;1871;670;417;1
1996;"Nordeste";"CE";"Ceará";"Federal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"CE";"Ceará";"Federal";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"CE";"Ceará";"Municipal";"Rural";"Em Atividade";453040;15123;1260;237459;65997;61131;569;21;156;242;3;60;10178
1996;"Nordeste";"CE";"Ceará";"Municipal";"Rural";"Extinta";0;0;1260;232;21;19;0;0;156;0;0;0;151
1996;"Nordeste";"CE";"Ceará";"Municipal";"Rural";"Paralisada";0;0;1260;517;172;257;0;0;156;0;0;0;271
1996;"Nordeste";"CE";"Ceará";"Municipal";"Urbana";"Em Atividade";348606;11459;1260;203458;43100;47300;21747;568;156;11709;1739;4050;1340
1996;"Nordeste";"CE";"Ceará";"Municipal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;36
1996;"Nordeste";"CE";"Ceará";"Municipal";"Urbana";"Paralisada";0;0;1260;139;56;39;0;0;156;0;0;0;25
1996;"Nordeste";"CE";"Ceará";"Privada";"Rural";"Em Atividade";5033;205;1260;3718;543;513;231;10;156;133;29;42;67
1996;"Nordeste";"CE";"Ceará";"Privada";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Nordeste";"CE";"Ceará";"Privada";"Urbana";"Em Atividade";301571;11466;1260;239512;27555;16083;60172;1519;156;44276;4484;6408;1537
1996;"Nordeste";"CE";"Ceará";"Privada";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;45
1996;"Nordeste";"CE";"Ceará";"Privada";"Urbana";"Paralisada";0;0;1260;26;3;9;0;0;156;0;0;0;127
1996;"Centro Oeste";"DF";"Distrito Federal";"Estadual";"Rural";"Em Atividade";20441;714;1260;14550;3929;960;1008;32;156;443;133;88;102
1996;"Centro Oeste";"DF";"Distrito Federal";"Estadual";"Urbana";"Em Atividade";306576;9117;1260;216660;64150;14968;68510;1712;156;36310;17368;7227;391
1996;"Centro Oeste";"DF";"Distrito Federal";"Federal";"Urbana";"Em Atividade";1583;49;1260;1598;273;0;1602;52;156;1177;327;0;1
1996;"Centro Oeste";"DF";"Distrito Federal";"Privada";"Urbana";"Em Atividade";68628;2501;1260;62783;4636;444;20146;504;156;14516;1713;323;193
1996;"Sudeste";"ES";"Espírito Santo";"Estadual";"Rural";"Em Atividade";78344;1406;1260;56831;12456;7446;1005;35;156;588;22;148;2482
1996;"Sudeste";"ES";"Espírito Santo";"Estadual";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;3
